,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
0,Shiva's rose,redecan-black-cherry-punch-black-cherry-punch,Redecan Black Cherry Punch - Black Cherry Punch,Redecan,9.2,False,,,,Flower,
1,Shiva's rose,10-3mm-witches-special-sandblasted-bong,"10"" 3mm Witches Special Sandblasted Bong",Smoke Arsenal,47.5,False,,,,Accessories,
2,Shiva's rose,10-day-glow-straight-tube-purple-62392,"10"" Day Glow Straight Tube - Purple",West Coast Gifts,55.0,False,,,,Accessories,
3,Shiva's rose,10-pinnacle-bong-set-dawn-grey,"10"" Pinnacle Bong Set - Dawn Grey",Pinnacle,165.0,False,,,,Accessories,
4,Shiva's rose,12-tall-7mm-thick-commemorative-50th-anniversary-beaker-tube,"12"" Tall 7mm Thick Commemorative 50th Anniversary Beaker Tube",Cheech & Chong,115.0,False,,,,Accessories,
5,Shiva's rose,12oz-michigan-peach-tree-mason-jar-candle,12oz Michigan Peach Tree Mason Jar Candle,Beamer,19.5,False,,,,Accessories,
6,Shiva's rose,13-5-beaker-tube-w-glass-downstem-pull-out-sugarskull,"13.5"" Beaker Tube W/Glass Downstem & Pull-out Sugarskull",West Coast Gifts,59.9,False,,,,Accessories,
7,Shiva's rose,14-7mm-etched-creatures-glass-bong,"14"" 7mm Etched Creatures Glass Bong",Smoke Arsenal,75.0,False,,,,Accessories,
8,Shiva's rose,14-7mm-etched-nsfw-glass-bong,"14"" 7mm Etched NSFW Glass Bong",Smoke Arsenal,80.0,False,,,,Accessories,
9,Shiva's rose,14-7mm-etched-pirate-skeleton-glass-bong,"14"" 7mm Etched Pirate Skeleton Glass Bong",Smoke Arsenal,80.0,False,,,,Accessories,
10,Shiva's rose,14-7mm-etched-septic-eye-glass-bong,"14"" 7mm Etched Septic Eye Glass Bong",Smoke Arsenal,80.0,False,,,,Accessories,
11,Shiva's rose,14-7mm-etched-skeleton-hand-glass-bong,"14"" 7mm Etched Skeleton Hand Glass Bong",Smoke Arsenal,80.0,False,,,,Accessories,
12,Shiva's rose,14-7mm-hoops-glass-beaker,"14"" 7mm Hoops Glass Beaker",Smoke Arsenal,65.0,False,,,,Accessories,
13,Shiva's rose,14-7mm-pastel-guy-glass-bong,"14"" 7mm Pastel Guy Glass Bong",Smoke Arsenal,80.0,False,,,,Accessories,
14,Shiva's rose,14-7mm-rick-and-morty-i-neon-chrome-glass-bong,"14"" 7mm Rick and Morty I Neon Chrome Glass Bong",Smoke Arsenal,85.0,False,,,,Accessories,
15,Shiva's rose,14-colored-ceramic-bong-yellow,"14"" Colored Ceramic Bong - Yellow",Smoke Arsenal,95.0,False,,,,Accessories,
16,Shiva's rose,14-pink-iridescent-glass-bong,"14"" Pink Iridescent Glass Bong",Smoke Arsenal,75.0,False,,,,Accessories,
