,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
0,flowertopia,0-beaker-bong-w-honeycomb-filter-black,"!0"" Beaker Bong w/Honeycomb Filter - Black",Maq Distributors,40,False,,,,Accessories,
1,flowertopia,0-beaker-bong-w-honeycomb-filter-blue,"!0"" Beaker Bong w/Honeycomb Filter - Blue",Maq Distributors,40,False,,,,Accessories,
2,flowertopia,0-10-cbd-gems-15-pack,0:10 CBD Gems | 15-pack,Redecan,16,False,,,,Edible,
3,flowertopia,14-mm-male-quartz-banger-90-degree,14 mm Male Quartz Banger - 90 Degree,Maq Distributors,17,False,,,,Accessories,
4,flowertopia,1-1-balanced-rso-1g,1:1 Balanced RSO | 1g,Ellevia,29.99,False,,,,Concentrate,
5,flowertopia,4-parts-leaf-metal-colour-grinder,4 Parts Leaf Metal Colour Grinder,One Wholesale,8.99,False,,,,Accessories,
6,flowertopia,4-soft-glass-hand-pipe,"4"" Soft Glass Hand Pipe",One Wholesale,5.49,False,,,,Accessories,
7,flowertopia,5f-tee,5F Tee,,31.66,False,,,,Accessories,
8,flowertopia,6-cone-diffuser-glass-bong,"6"" Cone diffuser glass bong",One Wholesale,35,False,,,,Accessories,
9,flowertopia,8-ball-kush-shatter-double-infused-pre-roll-1g,8 Ball Kush Shatter Double Infused Pre-Roll | 1g,Shatterizer,16,False,,,,Pre-Rolls,
10,flowertopia,8g-62-rh-integra-boost-humectant,8g 62% RH Integra Boost Humectant,Humble and Fume,1.99,False,,,,Accessories,
11,flowertopia,acid-secs-natural-opal-smoking-pipe,Acid Secs - Natural Opal Smoking Pipe,One Wholesale,28.49,False,,,,Accessories,
12,flowertopia,alien-cake-3030,Alien Cake 3030,Aurora Drift,27.5,False,,,,Flower,
13,flowertopia,alien-sinmint-cookies,Alien SinMint Cookies,BLKMKT,52,False,,,,Flower,
14,flowertopia,amherst-sour-diesel-pre-roll-10-pack-5g,Amherst Sour Diesel Pre-Roll 10-pack | 5g,Common Ground,28.5,False,,,,Pre-Rolls,
15,flowertopia,animal-face-pre-roll-3-pack-1-5g,Animal Face Pre-Roll 3-pack | 1.5g,Carmel Cannabis,20.81,False,,,,Pre-Rolls,
16,flowertopia,apricot-jelly-cartridge-1g,Apricot Jelly Cartridge | 1g,Ness,35.55,False,,,,Vaporizers,
17,flowertopia,balanced-oil-30ml,Balanced Oil | 30ml,Five Founders,35.95,False,28.76,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 20, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '62470e9a0211197a6cefb2b6', 'specialName': 'Self Care Saturday', 'specialRestrictions': {'concentrates-oil': {'discountType': 'percentDiscount'}, 'capsules-tablets': {'discountType': 'percentDiscount'}, 'Topicals': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Concentrate,
18,flowertopia,banana-purple-punch,Banana Purple Punch,Haven St. Premium Cannabis,32.25,False,,,,Flower,
19,flowertopia,blackberry-peach-hash-rosin-soft-chew-2-pack,Blackberry Peach Hash Rosin Soft Chew 2-pack,Proper Cannabis Co,10.95,False,,,,Edible,
20,flowertopia,blood-orange-yuzu-vanilla-sparkling-juice-58850,Blood Orange Yuzu & Vanilla Sparkling Juice,Collective Project,9.2,False,,,,Edible,
